Handle,Title,Body HTML,Vendor,Product Type,Tags,Published,Variant SKU,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Weight,Variant Weight Unit,Image Src,Image Position,Image Alt Text
bamboo-cutting-board,"Bamboo Cutting Board","<p>Durable bamboo cutting board with a juice groove. Naturally antibacterial and gentle on knife edges.</p>",KitchenRoots,Kitchen,"kitchen,bamboo,cutting board,eco-friendly",TRUE,BCB-101,22.99,28.99,TRUE,TRUE,shopify,35,deny,manual,0.9,kg,https://images.unsplash.com/photo-1584990347449-a2d4c2c9c5e0,1,"Bamboo cutting board"
cast-iron-skillet,"Cast Iron Skillet","<p>Pre-seasoned 12-inch cast iron skillet for even heat distribution. Ideal for searing, baking and frying.</p>",ForgeKitchen,Kitchen,"skillet,cast iron,cookware,kitchen",TRUE,CIS-102,34.99,44.99,TRUE,TRUE,shopify,22,deny,manual,2.8,kg,https://images.unsplash.com/photo-1584990347163-3c0f0a6e3f0a,1,"Cast iron skillet"
linen-table-runner,"Linen Table Runner","<p>Handwoven linen table runner with a soft natural texture. Adds an elegant touch to any dining table.</p>",HomeThreads,Home Decor,"table runner,linen,home decor,dining",TRUE,LTR-103,19.99,26.99,TRUE,TRUE,shopify,40,deny,manual,0.3,kg,https://images.unsplash.com/photo-1522771739844-6a9f6d5f14af,1,"Linen table runner"
scented-soy-candle,"Scented Soy Candle","<p>Hand-poured soy wax candle with a calming lavender and vanilla scent. Burns clean for up to 45 hours.</p>",GlowHouse,Home Decor,"candle,soy,scented,relaxation",TRUE,SSC-104,16.99,21.99,TRUE,TRUE,shopify,60,deny,manual,0.45,kg,https://images.unsplash.com/photo-1602874801006-e26c4c5b5b6a,1,"Scented soy candle"
glass-storage-jars,"Glass Storage Jars Set","<p>Set of three airtight glass storage jars with bamboo lids. Perfect for pantry organization.</p>",PantryPlus,Kitchen,"storage,glass,jars,organization",TRUE,GSJ-105,27.99,33.99,TRUE,TRUE,shopify,28,deny,manual,1.6,kg,https://images.unsplash.com/photo-1584990347449-b1f1f3d4c2e1,1,"Glass storage jars set"
woven-storage-basket,"Woven Storage Basket","<p>Handwoven seagrass storage basket with handles. A stylish way to organize blankets, toys or laundry.</p>",NestLiving,Home Decor,"basket,storage,woven,organization",TRUE,WSB-106,31.99,39.99,TRUE,TRUE,shopify,18,deny,manual,0.7,kg,https://images.unsplash.com/photo-1521575107034-e0fa0b594529,1,"Woven storage basket"
ceramic-dinner-plates,"Ceramic Dinner Plates Set","<p>Set of four stoneware dinner plates with a reactive glaze finish. Microwave and dishwasher safe.</p>",TableArt,Kitchen,"plates,ceramic,dinnerware,kitchen",TRUE,CDP-107,42.99,54.99,TRUE,TRUE,shopify,15,deny,manual,3.2,kg,https://images.unsplash.com/photo-1578749556568-bc2c40e68b61,1,"Ceramic dinner plates set"
wooden-serving-tray,"Wooden Serving Tray","<p>Acacia wood serving tray with metal handles. Great for breakfast in bed or serving guests.</p>",CraftWood,Home Decor,"tray,wood,serving,home decor",TRUE,WST-108,25.99,32.99,TRUE,TRUE,shopify,24,deny,manual,1.1,kg,https://images.unsplash.com/photo-1493957988430-a5f2e15f39a3,1,"Wooden serving tray"
cotton-throw-blanket,"Cotton Throw Blanket","<p>Soft woven cotton throw blanket with tassel edges. Lightweight and cozy for any season.</p>",CozyNest,Home Decor,"blanket,cotton,throw,cozy",TRUE,CTB-109,38.99,48.99,TRUE,TRUE,shopify,33,deny,manual,1.0,kg,https://images.unsplash.com/photo-1580301762395-83a3c6e9b3a4,1,"Cotton throw blanket"
stovetop-espresso-maker,"Stovetop Espresso Maker","<p>Classic aluminum moka pot that brews rich espresso on any stovetop. Makes six cups.</p>",BrewItalia,Kitchen,"espresso,coffee,moka,kitchen",TRUE,SEM-110,29.99,36.99,TRUE,TRUE,shopify,26,deny,manual,0.8,kg,https://images.unsplash.com/photo-1517256064527-09c73fc73e3c,1,"Stovetop espresso maker"
